census_key,FIPS,Tract,Block,Tract_block
33.739000000000004_-84.29,130890231013020,'023101','3020','023101':'3020'
33.747_-84.291,130890208024000.00,'020802','4000','020802':'4000'
33.739000000000004_-84.292,130890208024024.00,'020802','4024','020802':'4024'
33.743_-84.292,130890208024016.00,'020802','4016','020802':'4016'
33.743_-84.29299999999999,130890208024017.00,'020802','4017','020802':'4017'
33.738_-84.3,130890236012009.00,'023601','2009','023601':'2009'
33.747_-84.302,130890208024006.00,'020802','4006','020802':'4006'
33.746_-84.303,130890208024007.00,'020802','4007','020802':'4007'
33.75_-84.307,130890208022011.00,'020802','2011','020802':'2011'
33.739000000000004_-84.309,130890236011002.00,'023601','1002','023601':'1002'
33.75_-84.309,130890208022011.00,'020802','2011','020802':'2011'
33.751_-84.309,130890208022007.00,'020802','2007','020802':'2007'
33.745_-84.31,130890208022020.00,'020802','2020','020802':'2020'
33.739000000000004_-84.311,130890237003000.00,'023700','3000','023700':'3000'
33.744_-84.311,130890208022019.00,'020802','2019','020802':'2019'
33.74_-84.311,130890208022021.00,'020802','2021','020802':'2021'
33.741_-84.31200000000001,130890208022020.00,'020802','2020','020802':'2020'
33.754_-84.31299999999999,130890208011002.00,'020801','1002','020801':'1002'
33.748000000000005_-84.31299999999999,130890208022014.00,'020802','2014','020802':'2014'
33.74_-84.31299999999999,130890208022024.00,'020802','2024','020802':'2024'
33.759_-84.31299999999999,130890208012008.00,'020801','2008','020801':'2008'
33.743_-84.31299999999999,130890208022019.00,'020802','2019','020802':'2019'
33.745_-84.314,130890208022018.00,'020802','2018','020802':'2018'
33.74_-84.314,130890208022025.00,'020802','2025','020802':'2025'
33.744_-84.315,130890237004000.00,'023700','4000','023700':'4000'
33.764_-84.316,130890208012001.00,'020801','2001','020801':'2001'
33.762_-84.321,130890203003025.00,'020300','3025','020300':'3025'
33.725_-84.322,130890237001008.00,'023700','1008','023700':'1008'
33.763000000000005_-84.322,130890203003003.00,'020300','3003','020300':'3003'
33.760999999999996_-84.322,130890207002002.00,'020700','2002','020700':'2002'
33.75_-84.323,130890207001018.00,'020700','1018','020700':'1018'
33.766999999999996_-84.324,130890203003002.00,'020300','3002','020300':'3002'
33.762_-84.325,130890203003016.00,'020300','3016','020300':'3016'
33.749_-84.32700000000001,130890207001013.00,'020700','1013','020700':'1013'
33.727_-84.32700000000001,130890209004001.00,'020900','4001','020900':'4001'
33.747_-84.329,130890209001000.00,'020900','1000','020900':'1000'
33.718_-84.33,130890238012000.00,'023801','2000','023801':'2000'
33.731_-84.33,130890209003018.00,'020900','3018','020900':'3018'
33.760999999999996_-84.331,130890206002000.00,'020600','2000','020600':'2000'
33.747_-84.331,130890209001001.00,'020900','1001','020900':'1001'
33.747_-84.33200000000001,130890209001002.00,'020900','1002','020900':'1002'
33.77_-84.33200000000001,130890203001003.00,'020300','1003','020300':'1003'
33.726_-84.33200000000001,130890209004004.00,'020900','4004','020900':'4004'
33.764_-84.333,130890203002015.00,'020300','2015','020300':'2015'
33.727_-84.333,130890209004004.00,'020900','4004','020900':'4004'
33.734_-84.333,130890209003016.00,'020900','3016','020900':'3016'
33.765_-84.333,130890203002006.00,'020300','2006','020300':'2006'
33.736_-84.334,130890209003011.00,'020900','3011','020900':'3011'
33.766_-84.334,130890203002006.00,'020300','2006','020300':'2006'
33.735_-84.334,130890209003015.00,'020900','3015','020900':'3015'
33.771_-84.335,130890203002001.00,'020300','2001','020300':'2001'
33.731_-84.335,130890209003015.00,'020900','3015','020900':'3015'
33.755_-84.336,130890206002015.00,'020600','2015','020600':'2015'
33.75_-84.336,130890205002043.00,'020500','2043','020500':'2043'
33.763000000000005_-84.336,130890203002009.00,'020300','2009','020300':'2009'
33.763000000000005_-84.337,130890203002009.00,'020300','2009','020300':'2009'
33.75_-84.337,130890205002043.00,'020500','2043','020500':'2043'
33.755_-84.337,130890206002015.00,'020600','2015','020600':'2015'
33.775_-84.338,130890202001006.00,'020200','1006','020200':'1006'
33.74_-84.339,130890209003004.00,'020900','3004','020900':'3004'
33.754_-84.339,130890206001005.00,'020600','1005','020600':'1005'
33.766_-84.339,130890203002002.00,'020300','2002','020300':'2002'
33.75_-84.339,130890205002010.00,'020500','2010','020500':'2010'
33.76_-84.339,130890206001001.00,'020600','1001','020600':'1001'
33.738_-84.34,130890209002012.00,'020900','2012','020900':'2012'
33.736_-84.34,130890209002025.00,'020900','2025','020900':'2025'
33.759_-84.34,130890206001001.00,'020600','1001','020600':'1001'
33.734_-84.34100000000001,130890209002029.00,'020900','2029','020900':'2029'
33.8_-84.34100000000001,130890201001007.00,'020100','1007','020100':'1007'
33.748000000000005_-84.34200000000001,130890205002033.00,'020500','2033','020500':'2033'
33.804_-84.34200000000001,130890201001001.00,'020100','1001','020100':'1001'
33.795_-84.34299999999999,130890224011004.00,'022401','1004','022401':'1004'
33.742_-84.34299999999999,130890209001028.00,'020900','1028','020900':'1028'
33.76_-84.34299999999999,130890205001004.00,'020500','1004','020500':'1004'
33.736_-84.34299999999999,130890209002013.00,'020900','2013','020900':'2013'
33.797_-84.34299999999999,130890201001008.00,'020100','1008','020100':'1008'
33.766999999999996_-84.344,130890204001003.00,'020400','1003','020400':'1003'
33.759_-84.344,130890205001003.00,'020500','1003','020500':'1003'
33.736_-84.345,130890209002015.00,'020900','2015','020900':'2015'
33.742_-84.345,130890209001029.00,'020900','1029','020900':'1029'
33.759_-84.345,130890205001003.00,'020500','1003','020500':'1003'
33.743_-84.345,130890209001030.00,'020900','1030','020900':'1030'
33.759_-84.346,130890205001002.00,'020500','1002','020500':'1002'
33.738_-84.346,130890209002007.00,'020900','2007','020900':'2007'
33.756_-84.346,130890205001006.00,'020500','1006','020500':'1006'
33.79_-84.346,130890224012002.00,'022401','2002','022401':'2002'
33.758_-84.346,130890205001005.00,'020500','1005','020500':'1005'
33.74_-84.346,130890209002003.00,'020900','2003','020900':'2003'
33.714_-84.346,130890238022002.00,'023802','2002','023802':'2002'
33.741_-84.346,130890209001038.00,'020900','1038','020900':'1038'
33.766_-84.346,130890204001011.00,'020400','1011','020400':'1011'
33.763000000000005_-84.346,130890204002004.00,'020400','2004','020400':'2004'
33.772_-84.34700000000001,130890202002012.00,'020200','2012','020200':'2012'
33.758_-84.34700000000001,130890205001005.00,'020500','1005','020500':'1005'
33.757_-84.34700000000001,130890205001005.00,'020500','1005','020500':'1005'
33.801_-84.34700000000001,130890201001018.00,'020100','1018','020100':'1018'
33.781_-84.34700000000001,130890202002000.00,'020200','2000','020200':'2000'
33.778_-84.34700000000001,130890202002003.00,'020200','2003','020200':'2003'
33.741_-84.348,130890209001039.00,'020900','1039','020900':'1039'
33.778_-84.348,130890202002003.00,'020200','2003','020200':'2003'
33.756_-84.348,130890205001005.00,'020500','1005','020500':'1005'
33.758_-84.348,130890205001005.00,'020500','1005','020500':'1005'
33.760999999999996_-84.348,130890204002005.00,'020400','2005','020400':'2005'
33.734_-84.348,130890209002021.00,'020900','2021','020900':'2021'
33.85_-84.348,130890214152000.00,'021415','2000','021415':'2000'
33.766_-84.348,130890204001013.00,'020400','1013','020400':'1013'
33.762_-84.348,130890204002005.00,'020400','2005','020400':'2005'
33.723_-84.348,130890238012006.00,'023801','2006','023801':'2006'
33.848_-84.34899999999999,131210094042004.00,'009404','2004','009404':'2004'
33.769_-84.34899999999999,131210016001029.00,'001600','1029','001600':'1029'
33.766_-84.34899999999999,130890204001010.00,'020400','1010','020400':'1010'
33.745_-84.34899999999999,130890209001040.00,'020900','1040','020900':'1040'
33.724000000000004_-84.34899999999999,130890209002034.00,'020900','2034','020900':'2034'
33.826_-84.34899999999999,131210094043006.00,'009404','3006','009404':'3006'
33.742_-84.34899999999999,130890209001031.00,'020900','1031','020900':'1031'
33.736999999999995_-84.34899999999999,130890209002018.00,'020900','2018','020900':'2018'
33.781_-84.34899999999999,131210001002008.00,'000100','2008','000100':'2008'
33.768_-84.34899999999999,130890204001005.00,'020400','1005','020400':'1005'
33.813_-84.34899999999999,131210092002006.00,'009200','2006','009200':'2006'
33.754_-84.34899999999999,130890205001013.00,'020500','1013','020500':'1013'
33.72_-84.34899999999999,130890238012006.00,'023801','2006','023801':'2006'
33.757_-84.34899999999999,130890205001005.00,'020500','1005','020500':'1005'
33.751999999999995_-84.34899999999999,130890205002025.00,'020500','2025','020500':'2025'
33.784_-84.34899999999999,131210001002000.00,'000100','2000','000100':'2000'
33.823_-84.34899999999999,131210092002001.00,'009200','2001','009200':'2001'
33.79_-84.34899999999999,131210001001001.00,'000100','1001','000100':'1001'
33.777_-84.34899999999999,131210015003000.00,'001500','3000','001500':'3000'
33.764_-84.34899999999999,130890204002006.00,'020400','2006','020400':'2006'
33.701_-84.35,131210071002004.00,'007100','2004','007100':'2004'
33.82_-84.35,131210092002002.00,'009200','2002','009200':'2002'
33.759_-84.35,131210031002009.00,'003100','2009','003100':'2009'
33.814_-84.35,131210092002006.00,'009200','2006','009200':'2006'
33.849000000000004_-84.35,131210094042002.00,'009404','2002','009404':'2002'
33.747_-84.35,131210052003000.00,'005200','3000','005200':'3000'
33.72_-84.35,131210069001005.00,'006900','1005','006900':'1005'
33.732_-84.35,131210052001007.00,'005200','1007','005200':'1007'
33.764_-84.35,131210030002001.00,'003000','2001','003000':'2001'
33.771_-84.35,131210016001000.00,'001600','1000','001600':'1000'
33.766999999999996_-84.35,131210016001030.00,'001600','1030','001600':'1030'
33.742_-84.35,131210052003018.00,'005200','3018','005200':'3018'
33.818000000000005_-84.35,131210092002002.00,'009200','2002','009200':'2002'
33.819_-84.35,131210092002002.00,'009200','2002','009200':'2002'
33.681999999999995_-84.35,131210071001022.00,'007100','1022','007100':'1022'
33.781_-84.35,131210015002000.00,'001500','2000','001500':'2000'
33.817_-84.35,131210092002003.00,'009200','2003','009200':'2003'
33.782_-84.351,131210001002005.00,'000100','2005','000100':'2005'
33.701_-84.351,131210071002006.00,'007100','2006','007100':'2006'
33.783_-84.351,131210001002006.00,'000100','2006','000100':'2006'
33.819_-84.351,131210092002002.00,'009200','2002','009200':'2002'
33.82_-84.351,131210092002002.00,'009200','2002','009200':'2002'
33.818000000000005_-84.351,131210092002003.00,'009200','2003','009200':'2003'
33.787_-84.351,131210001002001.00,'000100','2001','000100':'2001'
33.793_-84.351,131210001004015.00,'000100','4015','000100':'4015'
33.763000000000005_-84.351,131210030002001.00,'003000','2001','003000':'2001'
33.821_-84.351,131210092002001.00,'009200','2001','009200':'2001'
33.772_-84.351,131210015001009.00,'001500','1009','001500':'1009'
33.738_-84.351,131210052003034.00,'005200','3034','005200':'3034'
33.821999999999996_-84.351,131210092002001.00,'009200','2001','009200':'2001'
