Tract_block,quarter,HOMICIDE,PERSONAL,PROP
'000100':'1000',2008Q4,0,0,1
'000100':'1000',2009Q1,0,0,1
'000100':'1000',2009Q2,0,0,3
'000100':'1000',2009Q3,0,0,2
'000100':'1000',2009Q4,0,1,7
'000100':'1000',2010Q1,0,0,4
'000100':'1000',2010Q2,0,0,4
'000100':'1000',2010Q4,0,0,3
'000100':'1000',2011Q1,0,0,3
'000100':'1000',2011Q3,0,1,3
'000100':'1000',2011Q4,0,0,3
'000100':'1000',2012Q1,0,0,1
'000100':'1000',2012Q3,0,0,6
'000100':'1000',2012Q4,0,0,2
'000100':'1000',2013Q1,0,0,1
'000100':'1000',2013Q2,0,0,4
'000100':'1000',2013Q3,0,0,8
'000100':'1000',2013Q4,0,0,11
'000100':'1000',2014Q1,0,0,9
'000100':'1000',2014Q2,0,1,1
'000100':'1000',2014Q3,0,0,1
'000100':'1000',2014Q4,0,0,9
'000100':'1000',2015Q1,0,0,5
'000100':'1000',2015Q2,0,0,12
'000100':'1000',2015Q3,0,0,3
'000100':'1000',2015Q4,0,1,3
'000100':'1000',2016Q1,0,0,3
'000100':'1000',2016Q2,0,0,1
'000100':'1000',2016Q3,0,1,0
'000100':'1000',2016Q4,0,0,3
'000100':'1000',2017Q1,0,1,6
'000100':'1000',2017Q2,0,0,2
'000100':'1000',2017Q3,0,0,1
'000100':'1000',2017Q4,0,1,2
'000100':'1000',2018Q2,0,0,3
'000100':'1000',2018Q3,0,0,1
'000100':'1000',2018Q4,0,0,1
'000100':'1000',2019Q1,0,1,1
'000100':'1001',2009Q4,0,1,2
'000100':'1001',2010Q1,0,0,1
'000100':'1001',2010Q3,0,0,1
'000100':'1001',2013Q2,0,0,1
'000100':'1001',2013Q4,0,0,1
'000100':'1001',2014Q2,0,0,1
'000100':'1001',2015Q2,0,0,1
'000100':'1001',2015Q3,0,0,1
'000100':'1001',2016Q1,0,1,1
'000100':'1001',2016Q3,0,0,1
'000100':'1001',2016Q4,0,0,1
'000100':'1001',2017Q1,0,0,1
'000100':'1001',2017Q3,0,0,1
'000100':'1001',2018Q3,0,1,2
'000100':'1001',2018Q4,0,1,0
'000100':'1001',2019Q1,0,1,0
'000100':'1002',2009Q2,0,0,1
'000100':'1002',2012Q4,0,0,1
'000100':'1002',2013Q2,0,0,1
'000100':'1002',2013Q3,0,0,1
'000100':'1002',2016Q4,0,1,0
'000100':'1002',2017Q1,0,0,1
'000100':'1002',2018Q4,0,0,1
'000100':'1003',2014Q2,0,1,0
'000100':'1003',2016Q3,0,0,1
'000100':'1004',2010Q2,0,1,0
'000100':'1004',2012Q3,0,0,1
'000100':'1004',2014Q1,0,0,1
'000100':'1004',2014Q3,0,0,1
'000100':'1004',2014Q4,0,0,1
'000100':'1005',2009Q3,0,0,2
'000100':'1005',2011Q3,0,1,0
'000100':'1005',2013Q3,0,0,1
'000100':'1005',2013Q4,0,0,2
'000100':'1005',2014Q4,0,0,1
'000100':'1005',2016Q1,0,0,1
'000100':'1005',2016Q3,0,0,1
'000100':'1005',2016Q4,0,0,1
'000100':'1005',2017Q4,0,0,1
'000100':'1006',2009Q3,0,1,0
'000100':'1006',2011Q1,0,0,1
'000100':'1006',2011Q3,0,0,1
'000100':'1006',2012Q1,0,0,1
'000100':'1006',2013Q1,0,0,1
'000100':'1006',2016Q4,0,0,1
'000100':'1006',2017Q1,0,0,1
'000100':'1006',2017Q4,0,1,1
'000100':'1006',2018Q3,0,0,1
'000100':'1007',2011Q4,0,1,0
'000100':'1007',2012Q2,0,0,1
'000100':'1007',2012Q4,0,0,1
'000100':'1007',2013Q2,0,0,1
'000100':'1007',2014Q3,0,0,1
'000100':'1007',2014Q4,0,0,1
'000100':'1007',2016Q4,0,0,1
'000100':'1007',2017Q3,0,0,1
'000100':'1007',2018Q1,0,0,1
'000100':'1007',2018Q4,0,0,2
'000100':'1008',2009Q2,0,0,1
'000100':'1008',2009Q3,0,0,1
'000100':'1008',2010Q2,0,1,1
'000100':'1008',2011Q1,0,0,1
