,0
Downtown_761610,131210102121001
Huntcliff_761611,130670303191003
Peachtree Dunwoody North_761612,131210101223005
Glenridge_264244,131210101101019
Whispering Pines_184892,131210102053005
Cherokee Park_272066,131210102112034
Mount Vernon Woods_761613,131210102054000
Aberdeen Forest_761615,131210101103001
North Springs_40076,131210102053002
Benton Woods_761617,131210102123000
Glenridge Forest-Hammond Hills_761614,131210101132004
Powers Ferry_761616,131210102062015
Riverview_219094,131210100022000
River Chase_131316,131210102043012
West Side_275988,132450101052008
Southside_269435,132450107091000
Highland Park_273997,132450105041019
East Augusta_269310,132450106004036
Lake Aumond_269360,132450102043040
Sand Hills_269430,132450016021008
Turpin Hill_269445,132450103001013
Academy Baker Ave_272720,132450013002005
Bennock Mill_272938,132450109052044
Cross Creek_273405,132450109062010
Farmers Bridge_273706,130339502002013
Harrisburg_273939,132450001003018
Lakemont_274243,132450001002027
Old Town_274892,132450006003020
Richmond Factory_275161,132450109042011
Gracewood_128980,132450107062018
Summerville_132047,132450012006013
Laney Walker_269364,132450014001025
May Park_269375,132450106004038
Old Savannah_269398,132450105091022
Pendelton King_269409,132450012002012
Uptown_269448,132450010001014
West Augusta_269457,132450102042012
Bethlehem_272949,132450104003002
McDade_274462,132450109062019
Hancock Mill_276361,130339501002011
Meadowbrook_130182,132450107081000
West End_275963,132450010003002
Pinetucky_275034,132450109031070
Montclair_130303,130730302033000
Bennett Woods_761789,130670311172020
Forest Hills_167227,130670311121016
Vinnings Glen_761761,130670311122012
Bellmont Hills_761785,130670311163013
Willams Park_761786,130670311101002
Myrna Heights_761787,130670311181014
Highlands_182077,130670311111009
King Valley at Vinnings_761788,130670311182012
Downtown_761640,130590006002034
Brentwood_127341,131210077063005
Chattahoochee_127734,131210086022003
The Villages at Carver_129299,131210067003009
Riverside_131360,131210088002034
Adair Park_269238,131210065003013
Briarwood_185198,132150022002004
Radcliff_261994,132150028002038
Hilton Heights_129342,132150012001011
Clubview Heights/Hilton Woods_761408,132150011002027
Wynnton Grove_761409,132150012002016
Averett Woods_761410,132150012001020
Garrad Woods_761411,132150112001010
Woodcrest_190659,132150012002006
National Hills_130438,132450101071019
Forrest Hills_273764,132450102033018
Goodale Landing_273849,132450106004012
Kissingbower_274198,132450105072017
Dimon Circle_761416,132150012003006
Overlook/Wynn's Hill_761417,132150027001009
East Wynnton Circle/Carver Heights_761418,132150024001023
East Carver Heights_761419,132150028001004
